Flight No.,Date andtime (UTC),"Version,Booster[a]",Launch site,Payload[b],Payload mass,Orbit,Customer,Launchoutcome,Boosterlanding,Launchsite,"Version,booster[a]","Version,booster[c]",Payload[d],Description
253,4 September 202302:47,,,,"~15,300 kg (33,700 lb)",LEO,SpaceX,Success,Success(drone ship),"KSC,LC-39A",,F9 B5♺B1073.10,Starlink Group 6-12(21 satellites),"An East Coast v2 mini Starlink launch to their Generation 2 network. SpaceX's Falcon family thus broke the yearly world record for most successful launches by any rocket family, first set by theR-7 familyin 1980after this launch."
254,9 September 202303:12,,,,"~16,100 kg (35,500 lb)",LEO,SpaceX,Success,Success(drone ship),"CCSFS,SLC-40",,F9 B5♺B1076.7,Starlink Group 6-14(22 satellites),An East Coast v2 mini Starlink launch to their Generation 2 network.
255,12 September 202306:57,,,,"~15,300 kg (33,700 lb)",LEO,SpaceX,Success,Success(drone ship),"VSFB,SLC-4E",,F9 B5♺B1071.11,Starlink Group 7-2(21 satellites),A West Coast v2 mini Starlink launch to their Generation 2 network.
256,16 September 202303:38,,,,"~16,100 kg (35,500 lb)",LEO,SpaceX,Success,Success(drone ship),"CCSFS,SLC-40",,F9 B5♺B1078.5,Starlink Group 6-16(22 satellites),"An East Coast v2 mini Starlink launch to their Generation 2 network. This was the 200th flight and 200th success of the Block 5 version of Falcon 9. SpaceX's Falcon family thus broke the yearly world record for most launches attempted (irrespective of launch outcome) by any rocket family, i.e., 64 set by theR-7 familyin 1980after this launch."
257,20 September 202303:38,,,,"~16,100 kg (35,500 lb)",LEO,SpaceX,Success,Success(drone ship),"CCSFS,SLC-40",,F9 B5♺B1058.17,Starlink Group 6-17(22 satellites),An East Coast v2 mini Starlink launch to their Generation 2 network. SpaceX set a new record using the same booster for the 17th time.
258,24 September 202303:38,,,,"~16,100 kg (35,500 lb)",LEO,SpaceX,Success,Success(drone ship),"CCSFS,SLC-40",,F9 B5♺B1060.17,Starlink Group 6-18(22 satellites),An East Coast v2 mini Starlink launch to their Generation 2 network. Second booster to fly for the 17th time.
259,25 September 202308:48,,,,"~15,300 kg (33,700 lb)",LEO,SpaceX,Success,Success(drone ship),"VSFB,SLC-4E",,F9 B5♺B1075.6,Starlink Group 7-3(21 satellites),A West Coast v2 mini Starlink launch to their Generation 2 network.
260,30 September 202302:00,,,,"~16,100 kg (35,500 lb)",LEO,SpaceX,Success,Success(drone ship),"CCSFS,SLC-40",,F9 B5♺B1069.10,Starlink Group 6-19(22 satellites),An East Coast v2 mini Starlink launch to their Generation 2 network. This launch marked the first time SpaceX completed 10 launches in a calendar month.
261,5 October 202305:36,,,,"~16,100 kg (35,500 lb)",LEO,SpaceX,Success,Success(drone ship),"CCSFS,SLC-40",,F9 B5♺B1076.8,Starlink Group 6-21(22 satellites),An East Coast v2 mini Starlink launch to their Generation 2 network.
262,9 October 202307:23,,,,"~15,300 kg (33,700 lb)",LEO,SpaceX,Success,Success(drone ship),"VSFB,SLC-4E",,F9 B5♺B1063.14,Starlink Group 7-4(21 satellites),A West Coast v2 mini Starlink launch to their Generation 2 network.
263,13 October 202323:01,,,,"~16,100 kg (35,500 lb)",LEO,SpaceX,Success,Success(drone ship),"CCSFS,SLC-40",,F9 B5♺B1067.14,Starlink Group 6-22(22 satellites),An East Coast v2 mini Starlink launch to their Generation 2 network. Launch of 2 rockets in single calendar day.
264,18 October 202300:39,,,,"~16,100 kg (35,500 lb)",LEO,SpaceX,Success,Success(drone ship),"CCSFS,SLC-40",,F9 B5♺B1062.16,Starlink Group 6-23(22 satellites),An East Coast v2 mini Starlink launch to their Generation 2 network.
265,21 October 202308:23,,,,"~15,300 kg (33,700 lb)",LEO,SpaceX,Success,Success(drone ship),"VSFB,SLC-4E",,F9 B5♺B1061.16,Starlink Group 7-5(21 satellites),A West Coast v2 mini Starlink launch to their Generation 2 network.
266,22 October 202302:17,,,,"~16,800 kg (37,000 lb)",LEO,SpaceX,Success,Success(drone ship),"CCSFS,SLC-40",,F9 B5♺B1080.4,Starlink Group 6-24(23 satellites),"An East Coast v2 mini Starlink launch to their Generation 2 network. First time 23 Starlinks V2 Mini were launched and new Falcon 9 payload mass record of 18,400 kg."
267,29 October 202309:00,,,,"~16,100 kg (35,500 lb)",LEO,SpaceX,Success,Success(drone ship),"VSFB,SLC-4E",,F9 B5♺B1075.7,Starlink Group 7-6(22 satellites),A West Coast v2 mini Starlink launch to their Generation 2 network. New record of launching 22 v2 mini satellites from the West Coast.
268,30 October 202323:20,,,,"~16,800 kg (37,000 lb)",LEO,SpaceX,Success,Success(drone ship),"CCSFS,SLC-40",,F9 B5♺B1077.8,Starlink Group 6-25(23 satellites),An East Coast v2 mini Starlink launch to their Generation 2 network.
269,4 November 202300:37,,,,"~16,800 kg (37,000 lb)",LEO,SpaceX,Success,Success(drone ship),"CCSFS,SLC-40",,F9 B5♺B1058.18,Starlink Group 6-26(23 satellites),An East Coast v2 mini Starlink launch to their Generation 2 network. First booster to fly for the 18th time.
270,8 November 202305:05,,,,"~16,800 kg (37,000 lb)",LEO,SpaceX,Success,Success(drone ship),"CCSFS,SLC-40",,F9 B5♺B1073.11,Starlink Group 6-27(23 satellites),An East Coast v2 mini Starlink launch to their Generation 2 network.
271,10 November 202301:28,,,,"~9,525 kg (20,999 lb)",LEO(ISS),NASA(CRS),Success,Success(ground pad),"KSC,LC-39A",,F9 B5♺B1081.2,SpaceX CRS-29(Dragon C211.2♺),"Three moreCRS-2missions for Dragon 2 covering up to CRS-29 were announced in December 2020.Mission will launch 2,381 kilograms (5,249 lb) of pressurized cargo and 569 kilograms (1,254 lb) of unpressurized cargo and then spend approximately one month on station. Among the cargo is station supplies and science experiments, including NASA's ILLUMA-T (Laser Communication from Space) and AWE (Atmospheric Waves Experiment) experiments, and ESA's Aquamembrane-3 experiment."
272,11 November 202318:49,,,,Unknown[e],SSO,Various,Success,Success(ground pad),"VSFB,SLC-4E",,F9 B5♺B1071.12,Transporter-9: (113 payloads Smallsat Rideshare),"Dedicated SmallSat Rideshare mission to Sun-synchronous orbit. Sixth mission featuring a shorter MVac nozzle extension, suitable for low-energy missions. Momentus has announced that three sats manifested by them failed to deploy from the Transporter-9 mission. The satellites were destroyed when second stage deorbited."
273,12 November 202321:08,,,,"~4,100 kg (9,000 lb)",MEO,SES,Success,Success(drone ship),"CCSFS,SLC-40",,F9 B5♺B1076.9,O3b mPOWER5 & 6,"Third part of SES' MEO satellites for its O3b low-latency, high-performance connectivity services."
274,18 November 202305:05,,,,"~16,800 kg (37,000 lb)",LEO,SpaceX,Success,Success(drone ship),"CCSFS,SLC-40",,F9 B5♺B1069.11,Starlink Group 6-28(23 satellites),An East Coast v2 mini Starlink launch to their Generation 2 network.
275,20 November 202310:30,,,,"~16,100 kg (35,500 lb)",LEO,SpaceX,Success,Success(drone ship),"VSFB,SLC-4E",,F9 B5♺B1063.15,Starlink Group 7-7(22 satellites),A West Coast v2 mini Starlink launch to their Generation 2 network.
276,22 November 202307:47,,,,"~16,800 kg (37,000 lb)",LEO,SpaceX,Success,Success(drone ship),"CCSFS,SLC-40",,F9 B5♺B1067.15,Starlink Group 6-29(23 satellites),An East Coast v2 mini Starlink launch to their Generation 2 network.
277,28 November 202304:20,,,,"~16,800 kg (37,000 lb)",LEO,SpaceX,Success,Success(drone ship),"CCSFS,SLC-40",,F9 B5♺B1062.17,Starlink Group 6-30(23 satellites),"An East Coast v2 mini Starlink launch to their Generation 2 network. First time SpaceX conducted 50th orbital launch in year from a single launch pad, i.e.,CCSFSSLC-40(all Falcon 9)."
278,1 December 202318:19,,,,"~800 kg (1,800 lb)(main satellite)",SSO,Republic of Korea Armed Forces,Success,Success(ground pad),"VSFB,SLC-4E",,F9 B5♺B1061.17,425 Project SAR satelliteEIRSAT-1and others 23 secondary payloads,A military satellite of South Korea with a mass of 800 kg. EIRSAT-1 is an Irish 2U cubesat that carries a gamma-ray detector and an experiment of thermal coatings for other spacecraft.SpaceX completing 250th landing of a Falcon first-stage booster this mission.
279,3 December 202304:00,,,,"~16,800 kg (37,000 lb)",LEO,SpaceX,Success,Success(drone ship),"CCSFS,SLC-40",,F9 B5♺B1078.6,Starlink Group 6-31(23 satellites),An East Coast v2 mini Starlink launch to their Generation 2 network.
280,7 December 202305:07,,,,"~16,800 kg (37,000 lb)",LEO,SpaceX,Success,Success(drone ship),"CCSFS,SLC-40",,F9 B5♺B1077.9,Starlink Group 6-33(23 satellites),An East Coast v2 mini Starlink launch to their Generation 2 network. SpaceX's 90th orbital launch of the year including Falcon 9 and Falcon Heavy.
281,8 December 202308:03,,,,"~16,100 kg (35,500 lb)",LEO,SpaceX,Success,Success(drone ship),"VSFB,SLC-4E",,F9 B5♺B1071.13,Starlink Group 7-8(22 satellites),"A West Coast v2 mini Starlink launch to their Generation 2 network. 200th landing on a droneship by a Falcon booster. Fastest turnaround ofVSFBSLC-4Epad at 6 days 13 hours 44 minutes.USAbroke the world record of most launches by a nation (108), held bySoviet Unionin1982.SpaceX completed 100 launches in 365 days (a year) between 8 December 2022, 22:27 UTC and 8 December 2023, 8:03 UTC."
282,19 December 202304:01,,,,"~16,800 kg (37,000 lb)",LEO,SpaceX,Success,Success(drone ship),"CCSFS,SLC-40",,F9 B5♺B1081.3,Starlink Group 6-34(23 satellites),An East Coast v2 mini Starlink launch to their Generation 2 network.
283,23 December 202305:33,,,,"~16,800 kg (37,000 lb)",LEO,SpaceX,Success,Success[f](drone ship),"CCSFS,SLC-40",,F9 B5♺B1058.19,Starlink Group 6-32(23 satellites),"An East Coast v2 mini Starlink launch to their Generation 2 network. First booster to fly for the 19th time. Despite the successful landing, the booster tipped over during transit due to rough seas, high winds and waves, the stage was unable to be secured to the deck for recovery and later tipped over in transit. SpaceX has already equipped newer Falcon boosters with upgraded landing legs that have the capability to self-level and mitigate this type of issue."
284,24 December 202313:11,,,,"~3,600 kg (7,900 lb)",SSO,German Intelligence Service,Success,Success(ground pad),"VSFB,SLC-4E",,F9 B5♺B1075.8,SARah2 & 3,"In January 2019, the satellites were expected to be launched between November 2020 and September 2021.90th Falcon 9 orbital launch of the year. Seventh mission featuring a shorter MVac nozzle extension, suitable for low-energy missions."
285,29 December 202304:01,,,,"~16,800 kg (37,000 lb)",LEO,SpaceX,Success,Success(drone ship),"CCSFS,SLC-40",,F9 B5♺B1069.12,Starlink Group 6-36(23 satellites),"An East Coast v2 mini Starlink launch to their Generation 2 network. SpaceX set a new record for the shortest time between two Falcon launches at 2 hours and 54 minutes. The previous record time was 4 hours and 12 minutes, set between theStarlink Group 2-8andSES-18 and SES-19missions on March 17, 2023."
